[2019-01-03 10:42:10 +0000] 10.10.10.1     	GET 	get_metadata	plugin-directory-name	-	-	-	action=get_metadata&slug=plugin-directory-name
[2019-01-03 10:42:33 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	-	-	-	action=get_metadata&slug=widget-blocks
[2019-01-03 10:46:30 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.4	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.4&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 10:48:05 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.4	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.4&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 10:48:13 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.4	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.4&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 10:48:22 +0000] 10.10.10.1     	GET 	download	widget-blocks	-	5.0.2	http://localhost/updated	action=download&slug=widget-blocks
[2019-01-03 10:49:15 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	-	-	-	action=get_metadata&slug=widget-blocks
[2019-01-03 10:52:14 +0000] 10.10.10.1     	GET 	download	widget-blocks	-	-	-	action=download&slug=widget-blocks
[2019-01-03 10:52:24 +0000] 10.10.10.1     	GET 	download	widget-blocks	-	-	-	action=download&slug=widget-blocks
[2019-01-03 10:54:08 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.4	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.4&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 10:54:26 +0000] 10.10.10.1     	GET 	download	widget-blocks	-	5.0.2	http://localhost/updated	action=download&slug=widget-blocks
[2019-01-03 10:54:30 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.4	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.4&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 10:54:59 +0000] 10.10.10.1     	GET 	download	widget-blocks	-	5.0.2	http://localhost/updated	action=download&slug=widget-blocks
[2019-01-03 11:04:08 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
